14190744,2013-11-19,3,664537,4.0,
113602439,2017-04-25,38,886398,2.0,False
67538710,2016-01-13,18,215332,2.0,False
56550764,2015-09-14,17,1005458,1.0,False
26138516,2014-06-29,16,716241,2.0,False
6679478,2013-06-08,23,1038952,4.0,
100844032,2016-12-23,11,214381,8.0,False
52314056,2015-07-26,6,1121514,3.0,False
61120010,2015-11-04,7,365264,2.0,False
80323009,2016-05-26,43,1975562,1.0,False
121770265,2017-07-11,20,513855,4.0,False
58698414,2015-10-08,44,153239,9.0,False
114343353,2017-05-02,26,1463797,1.0,False
64984768,2015-12-15,42,1105211,13.0,True
115879348,2017-05-16,50,1660271,36.0,False
65808228,2015-12-24,13,2010667,3.0,False
21828449,2014-04-04,18,514446,1.0,False
100619157,2016-12-21,6,959500,1.0,False
84687395,2016-07-11,21,812725,1.0,False
11002871,2013-09-11,45,1160754,5.0,
27698758,2014-07-22,46,1164923,5.0,False
90211900,2016-09-06,31,1695820,10.0,True
88359078,2016-08-18,17,1109326,9.0,False
113597767,2017-04-25,35,2017241,1.0,False
55498917,2015-09-02,10,850334,4.0,False
54839855,2015-08-25,30,915351,1.0,False
59409874,2015-10-16,31,1718310,2.0,False
111867840,2017-04-09,3,1464008,11.0,False
4841451,2013-04-27,45,617763,4.0,
70921902,2016-02-18,20,1472484,3.0,False
80270471,2016-05-26,8,1166475,22.0,False
34208827,2014-10-31,30,1464312,5.0,False
23178904,2014-05-01,40,525887,5.0,False
47304713,2015-05-23,34,1463507,13.0,False
22535546,2014-04-18,33,129296,4.0,False
87593496,2016-08-10,18,2010356,1.0,False
116992872,2017-05-27,27,1695875,9.0,False
86873880,2016-08-02,54,683720,2.0,False
79588202,2016-05-18,53,115893,1.0,True
77192329,2016-04-23,53,1463771,12.0,False
39706087,2015-01-20,49,843462,2.0,False
71462511,2016-02-24,6,888761,3.0,False
42014713,2015-02-28,38,165704,15.0,False
96971351,2016-11-15,13,1162382,84.0,True
72328174,2016-03-04,10,1447815,5.0,False
11876430,2013-09-30,50,402174,11.0,
84502630,2016-07-09,31,414353,30.0,False
7373435,2013-06-23,47,853195,8.0,
112589658,2017-04-16,2,813760,2.0,False
47555896,2015-05-27,11,1047743,2.0,False
30829705,2014-09-13,6,812751,19.0,False
114503439,2017-05-03,52,213652,9.0,False
3639671,2013-03-30,43,1028589,4.0,
116199837,2017-05-20,3,1349806,8.0,False
33511837,2014-10-21,19,1339882,4.0,False
1330333,2013-02-03,40,215896,1.0,
82297615,2016-06-16,30,839364,9.0,False
6352938,2013-06-01,12,979196,10.0,
19193127,2014-02-19,33,371434,6.0,
111054786,2017-04-01,22,1143685,14.0,False
64680186,2015-12-12,31,902839,1.0,False
7243710,2013-06-21,3,459762,11.0,
40403598,2015-02-01,46,257848,7.0,False
115026322,2017-05-08,45,1471911,2.0,False
26227365,2014-07-01,1,279157,6.0,False
40992536,2015-02-11,40,1053943,3.0,False
90980327,2016-09-14,38,1386506,1.0,False
50995882,2015-07-09,45,554152,4.0,False
114531203,2017-05-04,11,759894,8.0,False
28564256,2014-08-05,17,559044,1.0,False
51891908,2015-07-20,47,1235251,5.0,False
39300322,2015-01-13,50,1164290,2.0,False
103412557,2017-01-18,20,1473482,3.725,False
66125608,2015-12-28,31,852934,1.0,False
33331310,2014-10-18,47,1239853,20.01,False
23399225,2014-05-06,1,582863,13.726,False
104034803,2017-01-24,20,1354390,5.0,False
35075864,2014-11-12,38,1686652,30.0,True
84653111,2016-07-11,1,1990640,2.0,False
6884365,2013-06-12,54,888063,3.0,
56130506,2015-09-09,24,583968,8.079,False
38963672,2015-01-08,8,106716,6.0,False
51424157,2015-07-15,5,103520,4.0,False
70053412,2016-02-09,7,2029543,1.0,False
2963578,2013-03-14,54,315277,16.0,
68243889,2016-01-20,49,177050,5.0,False
79475273,2016-05-17,42,587156,1.0,False
85105373,2016-07-15,49,165553,18.0,False
12128605,2013-10-06,12,564274,2.0,
19755166,2014-03-02,26,215356,3.0,
77461795,2016-04-26,47,371218,4.0,False
84141956,2016-07-05,44,519560,1.714,False
38698902,2015-01-03,39,1105211,11.0,False
87601247,2016-08-10,24,165553,3.0,False
7145582,2013-06-18,45,513379,1.0,
54500289,2015-08-21,33,906980,1.0,False
93136348,2016-10-07,5,2007117,3.0,False
52429035,2015-07-27,27,1416362,1.0,False
80925006,2016-06-01,50,829414,7.0,False
